,forecast error
2019-02-28,-0.004666355282068255
2019-03-31,-0.008399939283728602
2019-04-30,-0.010791795119643212
2019-05-31,-0.0018644530177116397
2019-06-30,-0.007440088436007502
2019-07-31,-0.0069207988008856795
2019-08-31,-0.01254757314175367
2019-09-30,-0.007525138348340989
2019-10-31,-0.010073374420404436
2019-11-30,-0.006097957447171211
2019-12-31,-0.008690762728452685
2020-01-31,-0.00544609497487545
